score_num,movie_name,ranking,score
,血钻,230,8.5
,夜访吸血鬼,231,8.3
,偷拐抢骗,232,8.5
,荒岛余生,233,8.4
,模仿游戏,234,8.5
,爱在暹罗,235,8.3
,中央车站,236,8.7
,疯狂动物城,237,9.2
,两小无猜,238,8.2
,月球,239,8.5
,千钧一发,240,8.7
,疯狂的石头,241,8.2
,罪恶之城,242,8.4
,枪火,243,8.6
,寿司之神,244,8.8
,我爱你,245,9.0
,爱在午夜降临前,246,8.7
,廊桥遗梦,247,8.5
,角斗士,248,8.4
,假如爱有天意,249,8.2
,黑鹰坠落,250,8.5
